ticker,promoter_pledge_pct,promoter_holding_pct,fii_delta_qoq,dii_delta_qoq,mf_delta_qoq,auditor_qualified,rpt_concern,note
CIPLA,0.0,29.22,-2.35,2.64,,,,
CLEAN,0.0,51.29,-0.01,-0.91,,,,
COALINDIA,0.0,61.13,1.99,-0.56,,,,
COCHINSHIP,0.0,67.91,-0.27,0.91,,,,
COFORGE,0.0,0.0,-6.35,-13.56,,,,
COHANCE,94.6,57.49,0.91,-1.7,,,,
COLPAL,0.0,51.0,0.0,0.29,,,,
CONCOR,0.0,54.8,-0.47,0.08,,,,
CONCORDBIO,0.0,44.08,-0.26,0.15,,,,
COROMANDEL,0.0,56.35,-1.52,1.73,,,,
CPPLUS,0.0,74.71,0.63,-1.14,,,,
CRAFTSMAN,0.0,42.41,2.09,4.61,,,,
CREDITACC,0.0,66.21,0.54,0.08,,,,
CRISIL,0.0,66.64,-0.8,0.34,,,,
CROMPTON,0.0,0.0,-0.6,0.35,,,,
CUMMINSIND,0.0,51.0,0.42,-0.37,,,,
CYIENT,0.0,23.28,-0.81,-1.99,,,,
DABUR,0.0,66.24,-0.32,0.14,,,,
DALBHARAT,0.0,55.84,-0.34,-0.3,,,,
DATAPATTNS,0.0,42.41,0.03,0.3,,,,
DCMSHRIRAM,0.0,66.53,-0.08,-0.1,,,,
DEEPAKFERT,0.0,45.63,-0.29,1.45,,,,
DEEPAKNTR,0.0,49.34,0.05,0.3,,,,
DEVYANI,0.0,61.37,0.68,-0.49,,,,
DIVISLAB,0.0,51.88,-0.1,0.16,,,,
DIXON,0.0,28.55,-0.43,0.24,,,,
DLF,0.0,74.08,-1.23,1.09,,,,
DMART,0.0,74.48,0.22,-0.1,,,,
DOMS,0.0,63.38,-0.12,6.77,,,,
DRREDDY,0.0,26.63,-0.47,1.03,,,,
ECLERX,0.0,54.53,-0.81,-0.11,,,,
EICHERMOT,0.0,49.03,-1.25,1.24,,,,
EIDPARRY,0.0,41.28,-0.99,-0.08,,,,
EIHOTEL,0.0,32.85,0.03,-0.1,,,,
ELECON,0.0,59.28,-0.14,1.51,,,,
ELGIEQUIP,0.0,31.19,-0.3,1.04,,,,
EMAMILTD,0.0,54.84,-0.7,0.09,,,,
EMCURE,0.0,77.83,1.52,2.36,,,,
EMMVEE,0.0,80.03,0.47,-2.48,,,,
ENDURANCE,0.0,75.0,-0.45,0.29,,,,
ENGINERSIN,0.0,51.32,-0.49,2.03,,,,
ENRIN,0.0,75.0,0.13,-0.18,,,,
ERIS,0.0,54.14,-0.63,0.36,,,,
ESCORTS,0.0,68.04,0.65,-1.01,,,,
EXIDEIND,0.0,45.99,0.32,0.18,,,,
FACT,0.0,90.0,-0.05,0.01,,,,
FINCABLES,0.0,35.86,0.03,0.27,,,,
FIVESTAR,0.0,18.61,-4.51,4.77,,,,
FLUOROCHEM,0.0,61.39,0.13,-0.15,,,,
FORCEMOT,0.0,61.63,-1.42,-0.29,,,,
FORTIS,0.0,31.17,-0.78,0.88,,,,
FSL,0.0,53.66,-0.47,-0.08,,,,
GABRIEL,0.0,63.55,-0.23,-3.36,,,,
GAIL,0.0,51.79,1.96,-1.41,,,,
GALLANTT,0.0,70.03,-0.07,0.0,,,,
GESHIP,0.0,30.08,2.59,-2.44,,,,
GICRE,0.0,77.4,0.38,4.18,,,,
GILLETTE,0.0,75.0,-0.03,-0.49,,,,
GLAND,0.0,51.77,1.45,-2.92,,,,
GLAXO,0.0,75.0,0.17,0.13,,,,
GLENMARK,0.0,46.65,0.54,-0.68,,,,
GMDCLTD,0.0,74.0,-0.1,-0.13,,,,
GMRAIRPORT,0.0,67.16,1.57,0.21,,,,
GODFRYPHLP,0.0,72.58,-0.11,0.38,,,,
GODIGIT,0.0,73.0,0.22,0.39,,,,
GODREJCP,0.0,53.06,-1.61,1.58,,,,
GODREJIND,0.0,74.64,0.09,0.0,,,,
GODREJPROP,0.0,51.66,-0.85,0.84,,,,
GPIL,0.0,63.18,0.06,0.47,,,,
GRANULES,0.0,38.01,2.19,-0.9,,,,
GRAPHITE,0.0,65.34,-0.66,-0.26,,,,
GRASIM,0.0,43.73,-0.28,-0.15,,,,
GRAVITA,0.0,55.88,-1.08,0.37,,,,
GROWW,0.0,27.14,4.38,4.16,,,,
GRSE,0.0,74.5,-0.3,0.24,,,,
GVT&D,0.0,51.0,2.5,-2.93,,,,
HAL,0.0,71.64,-0.87,1.47,,,,
HAVELLS,0.0,59.35,-1.02,0.54,,,,
HBLENGINE,0.0,59.11,-0.32,0.18,,,,
HCLTECH,0.0,60.88,-0.61,-0.2,,,,
HDBFS,0.0,74.12,0.54,-0.19,,,,
HDFCAMC,0.0,52.34,-0.35,0.34,,,,
HDFCBANK,0.0,0.0,-2.23,1.61,,,,
HDFCLIFE,0.0,50.54,-3.25,2.94,,,,
HEG,0.0,56.27,-1.76,0.64,,,,
HEROMOTOCO,0.0,34.73,-0.06,-0.43,,,,
HEXT,0.0,74.3,-1.01,1.02,,,,
HFCL,0.0,28.29,8.66,2.35,,,,
HINDALCO,0.0,34.67,1.45,-1.53,,,,
HINDCOPPER,0.0,66.14,-0.38,-0.55,,,,
HINDPETRO,0.0,54.9,-3.68,3.27,,,,
HINDUNILVR,0.0,61.9,-0.6,0.59,,,,
HINDZINC,0.0,60.71,-0.19,0.12,,,,
HOMEFIRST,0.0,6.98,-1.82,2.31,,,,
HONASA,0.0,35.47,-0.1,2.34,,,,
HONAUT,0.0,75.0,0.2,0.03,,,,
HSCL,0.0,52.49,0.82,0.11,,,,
HUDCO,0.0,75.0,0.18,-0.94,,,,
HYUNDAI,0.0,82.5,-2.15,1.94,,,,
ICICIAMC,0.0,87.59,0.56,-0.38,,,,
ICICIGI,0.0,51.22,-0.84,1.23,,,,
ICICIPRULI,0.0,72.73,-0.67,0.76,,,,
IDBI,0.0,94.72,-0.11,0.02,,,,
IDEA,0.0,25.64,0.61,-0.14,,,,
IDFCFIRSTB,0.0,0.0,-0.42,1.62,,,,
IFCI,0.0,72.57,0.85,0.02,,,,
IGIL,0.0,76.55,0.89,-0.87,,,,
IGL,0.0,45.0,-6.92,6.77,,,,
IIFL,0.0,24.84,-4.3,0.41,,,,
IKS,0.0,63.72,-0.18,1.1,,,,
INDHOTEL,0.0,38.12,-1.52,1.89,,,,
INDIACEM,0.0,75.0,-0.09,-0.3,,,,
INDIAMART,0.0,49.07,0.75,-1.43,,,,
INDIANB,0.0,73.84,0.34,-0.72,,,,
INDIGO,0.0,41.57,-1.32,0.71,,,,
INDUSINDBK,42.8,15.82,0.6,1.73,,,,
INDUSTOWER,0.0,51.26,-1.9,1.74,,,,
INFY,0.0,13.82,-1.36,-0.41,,,,
INOXWIND,0.0,44.18,-0.07,-0.94,,,,
INTELLECT,0.0,29.63,-2.06,0.24,,,,
IOB,0.0,92.44,0.04,0.01,,,,
IOC,0.0,51.5,-0.76,0.42,,,,
IPCALAB,0.0,44.72,0.09,-0.09,,,,
IRB,0.0,30.81,0.03,0.12,,,,
IRCON,0.0,65.17,-0.17,0.0,,,,
IRCTC,0.0,62.4,-0.95,0.0,,,,
IREDA,0.0,71.76,0.34,-0.05,,,,
IRFC,0.0,82.9,0.01,1.09,,,,
ITCHOTELS,0.0,39.85,-2.97,2.52,,,,
ITI,0.0,90.02,0.08,0.0,,,,
J&KBANK,0.0,59.4,1.03,1.85,,,,
JAINREC,0.0,73.59,-1.79,-0.36,,,,
JBMA,0.0,67.53,0.06,0.06,,,,
JINDALSAW,0.0,63.25,-0.38,2.57,,,,
JINDALSTEL,0.0,62.71,-0.35,0.38,,,,
JIOFIN,0.0,49.13,-1.04,-0.99,,,,
JKCEMENT,0.0,45.66,-0.01,-0.03,,,,
JKTYRE,0.0,51.72,-2.84,-0.19,,,,
JMFINANCIL,0.0,57.03,-0.21,-0.38,,,,
JPPOWER,73.0,24.0,0.17,-5.88,,,,
JSL,0.0,62.04,-0.42,0.2,,,,
JSWCEMENT,0.0,72.02,0.77,2.75,,,,
JSWDULUX,0.0,61.2,0.06,0.17,,,,
JSWENERGY,0.0,66.53,1.67,1.87,,,,
JSWINFRA,0.0,73.93,4.29,6.76,,,,
JSWSTEEL,0.0,44.29,0.54,0.33,,,,
JUBLFOOD,0.0,40.27,-3.97,3.21,,,,
JUBLINGREA,0.0,45.22,0.0,0.22,,,,
JUBLPHARMA,0.0,47.67,-0.03,0.77,,,,
JWL,0.0,68.31,-0.72,0.01,,,,
JYOTICNC,0.0,62.55,-2.66,-1.09,,,,
KAJARIACER,0.0,47.69,1.35,-1.23,,,,
KALYANKJIL,0.0,62.86,-3.73,1.7,,,,
KARURVYSYA,0.0,2.07,-1.33,1.96,,,,
KAYNES,0.0,53.46,-1.46,-3.35,,,,
KEC,0.0,50.1,0.08,-3.52,,,,
KEI,0.0,35.0,0.05,0.07,,,,
KFINTECH,0.0,22.82,-5.53,2.09,,,,
KIMS,0.0,32.49,0.18,1.92,,,,
KIRLOSENG,0.0,41.06,0.54,-0.69,,,,
KOTAKBANK,0.0,25.87,-1.19,1.52,,,,
KPIL,0.0,33.58,-0.15,-0.28,,,,
KPITTECH,0.0,38.59,-0.03,-1.05,,,,
KPRMILL,0.0,67.52,0.38,-0.22,,,,
LALPATHLAB,0.0,53.19,0.17,0.22,,,,
LATENTVIEW,0.0,65.1,-1.03,-0.53,,,,
LAURUSLABS,0.0,27.47,2.18,-0.23,,,,
LEMONTREE,0.0,22.32,-2.15,-1.32,,,,
LENSKART,0.0,17.53,8.5,8.08,,,,
LGEINDIA,0.0,85.0,0.4,-0.19,,,,
LICHSGFIN,0.0,45.24,0.08,0.13,,,,
LICI,0.0,96.5,0.13,-0.28,,,,
LINDEINDIA,0.0,75.0,-0.02,-0.09,,,,
